instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2015-06-01_reserves_0.json,41685.3955498864,optimal,124.42494225502014,7.363454818725586,0.003983020782470703,131.7923800945282,0.017504542001684515,,./ca/2015-06-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,0.0
2014-09-01_reserves_3.json,48436.021550494945,optimal,147.85903215408325,8.575486660003662,0.003948211669921875,156.43846702575684,0.08910720223420271,,./ca/2014-09-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,41727.68
2015-03-01_reserves_1.json,31845.61170444361,optimal,154.8365695476532,9.285389184951782,0.0040585994720458984,164.12601733207703,0.15571632662496318,,./ca/2015-03-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,10395.76
2015-06-01_reserves_3.json,41830.21177110174,optimal,157.950453042984,8.994424104690552,0.0064697265625,166.95134687423706,0.08185421456598316,,./ca/2015-06-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,38220.17
2014-09-01_reserves_0.json,48255.05569673528,optimal,172.87850856781006,9.481555223464966,0.003998279571533203,182.36406207084656,0.07560506916417789,,./ca/2014-09-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,0.0
2020-02-09.json,2180374.137929007,optimal,20.96196413040161,3.1913840770721436,0.0013828277587890625,24.154731035232544,1.2836727967200046,,./rts_gmlc/2020-02-09.json,48,73,81,1,117,292,16128,28416,44544,41263,4504.42,3595.41,5177.39
2014-12-01_reserves_0.json,39238.273038059924,optimal,187.34122109413147,9.0720956325531,0.004030466079711914,196.41734719276428,0.03715368091231547,,./ca/2014-12-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,0.0
2015-03-01_reserves_0.json,31799.774738239423,optimal,189.40430426597595,9.041085958480835,0.00409245491027832,198.44948267936707,0.0886790432021073,,./ca/2015-03-01_reserves_0.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,0.0
2015-03-01_reserves_5.json,31964.209730688708,optimal,197.41962671279907,8.697762966156006,0.004015445709228516,206.1214051246643,0.07893091884529747,,./ca/2015-03-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,51978.8
2014-09-01_reserves_5.json,48565.195806004136,optimal,199.7252607345581,9.05283808708191,0.004025459289550781,208.78212428092957,0.06407003570685788,,./ca/2014-09-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,69546.13
2020-06-09.json,3723100.337805822,optimal,18.076378107070923,4.889271259307861,0.001905202865600586,22.967554569244385,0.30714598898321344,,./rts_gmlc/2020-06-09.json,48,73,81,1,117,292,16128,28416,44544,41263,6575.0,4989.55,7184.95
2020-07-06.json,3742191.059514001,optimal,16.74211025238037,2.897575855255127,0.0019130706787109375,19.64159917831421,0.5797705680297961,,./rts_gmlc/2020-07-06.json,48,73,81,1,117,292,16128,28416,44544,41263,6459.71,5072.87,7304.93
2015-06-01_reserves_1.json,41723.26820334657,optimal,222.54910159111023,7.312860727310181,0.004004716873168945,229.86596703529358,0.03253012078725327,,./ca/2015-06-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,12740.06
2020-08-12.json,5067539.9159429325,optimal,19.093101501464844,3.205296516418457,0.001852273941040039,22.30025029182434,0.2536226717883538,,./rts_gmlc/2020-08-12.json,48,73,81,1,117,292,16128,28416,44544,41263,8017.52,5938.12,8550.9
2014-12-01_reserves_3.json,39347.107054001295,optimal,231.3136579990387,8.947220087051392,0.004062175750732422,240.26494026184082,0.030779376051869794,,./ca/2014-12-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,36434.71
Scenario400_reserves_1.json,33609.4188708285,optimal,232.28828954696655,9.109997749328613,0.0067653656005859375,241.40505266189575,0.192037210105821,,./ca/Scenario400_reserves_1.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,16704.21
2020-09-20.json,2968327.024457007,optimal,24.34170126914978,1.5050311088562012,0.001369476318359375,25.84810185432434,0.7770324503106483,,./rts_gmlc/2020-09-20.json,48,73,81,1,117,292,16128,28416,44544,41263,5601.34,4164.29,5996.58
Scenario400_reserves_5.json,33906.35147169466,optimal,244.9877998828888,8.96938967704773,0.003983497619628906,253.96117305755615,0.21117687175076189,,./ca/Scenario400_reserves_5.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,83521.07
2014-12-01_reserves_5.json,39533.14189140289,optimal,243.66729140281677,10.57494854927063,0.006067037582397461,254.2483069896698,0.261836583912199,,./ca/2014-12-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,60724.52
2014-09-01_reserves_1.json,48298.68241711425,optimal,246.80371618270874,8.812162160873413,0.003952741622924805,255.61983108520508,0.05962809945741685,,./ca/2014-09-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,13909.23
2020-10-27.json,1800830.3152099908,optimal,34.85741209983826,1.6062536239624023,0.0015277862548828125,36.46519351005554,1.479241029897213,,./rts_gmlc/2020-10-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4621.1,3941.49,5675.75
Scenario400_reserves_0.json,33579.30299670469,optimal,253.8536515235901,9.10513687133789,0.004041194915771484,262.96282958984375,0.2639612691208544,,./ca/Scenario400_reserves_0.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,0.0
2014-12-01_reserves_1.json,39272.446691093726,optimal,258.0980021953583,10.240747213363647,0.006318569183349609,268.3450679779053,0.045463975763349526,,./ca/2014-12-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,12144.9
2020-03-05.json,2519231.1111290036,optimal,89.32283520698547,2.9343018531799316,0.0017838478088378906,92.25892090797424,0.732960430132658,,./rts_gmlc/2020-03-05.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.01,3688.14,5310.92
Scenario400_reserves_3.json,33754.25804328152,optimal,283.357439994812,9.265031576156616,0.006449699401855469,292.6289212703705,0.22107629766208453,,./ca/Scenario400_reserves_3.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,50112.64
2015-06-01_reserves_5.json,41917.917167768814,optimal,283.82124304771423,9.081250429153442,0.003991603851318359,292.906485080719,0.060672404487675566,,./ca/2015-06-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,63700.28
2015-03-01_reserves_3.json,31921.630487558054,optimal,283.68338799476624,9.936648845672607,0.003975868225097656,293.62401270866394,0.17834884028771383,,./ca/2015-03-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,31187.28
2020-04-03.json,2048611.4309680106,optimal,159.05545496940613,1.4778566360473633,0.0019080638885498047,160.53521966934204,0.6782119115779349,,./rts_gmlc/2020-04-03.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.12,3543.72,5102.96
2020-01-27.json,1237732.053313998,optimal,196.19542169570923,3.0584704875946045,0.0018715858459472656,199.25576376914978,0.9643245044975841,,./rts_gmlc/2020-01-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4502.07,3815.48,5494.29
2020-12-23.json,2721184.192534326,optimal,141.3965392112732,1.6088435649871826,0.001440286636352539,143.00682306289673,0.9325481491599803,,./rts_gmlc/2020-12-23.json,48,73,81,1,117,292,16128,28416,44544,41263,4905.85,4207.43,6058.69
2020-11-25.json,969327.1494729997,optimal,152.96123909950256,3.210312604904175,0.001318216323852539,156.1728699207306,0.6161379469109483,,./rts_gmlc/2020-11-25.json,48,73,81,1,117,292,16128,28416,44544,41263,4435.28,3573.76,5146.22
2020-05-05.json,2445543.9290547343,optimal,1618.765299797058,3.0065970420837402,0.001790761947631836,1621.7736876010895,1.0127499386040943,,./rts_gmlc/2020-05-05.json,48,73,81,1,117,292,16128,28416,44544,41263,5284.09,4205.39,6055.76
2015-04-01_lw.json,57247399.10380104,optimal,3066.260787010193,14.049110412597656,0.04119563102722168,3080.3510930538177,0.48639227082195285,,./ferc/2015-04-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,96381,83304.1,197125.2
2015-03-01_lw.json,103859608.14297849,optimal,3868.474224805832,10.16133189201355,0.03638339042663574,3878.671940088272,0.17419935231086164,,./ferc/2015-03-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,112122,101636.83,207626.7
