instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2020-10-27.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-10-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4621.1,3941.49,5675.75
2020-11-25.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-11-25.json,48,73,81,1,117,292,16128,28416,44544,41263,4435.28,3573.76,5146.22
2020-12-23.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-12-23.json,48,73,81,1,117,292,16128,28416,44544,41263,4905.85,4207.43,6058.69
2014-09-01_reserves_1.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2014-09-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,13909.23
Scenario400_reserves_1.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/Scenario400_reserves_1.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,16704.21
2015-06-01_reserves_3.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ca/2015-06-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,38220.17
2015-10-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-10-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,86443,77715.38,205723.0
2015-03-01_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-03-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,112122,101636.83,207626.7
2020-04-03.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-04-03.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.12,3543.72,5102.96
2015-03-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-03-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,112122,101636.83,207626.7
2015-04-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-04-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,96381,83304.1,197125.2
2015-11-02_lw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-11-02_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,91111,79278.06,210780.9
2020-06-09.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./rts_gmlc/2020-06-09.json,48,73,81,1,117,292,16128,28416,44544,41263,6575.0,4989.55,7184.95
2015-08-01_hw.json,,unknown,,,,,,"Solver ""highs"" is not available. The returned status is: NotFound.",./ferc/2015-08-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,123575,96875.71,234426.21
