instance,status,solve_time,build_time,load_time,total_time,objective_value,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2020-02-09.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-02-09.json,48,73,81,1,117,292,16128,28416,44544,41263,4504.42,3595.41,5177.39
2020-03-05.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-03-05.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.01,3688.14,5310.92
2020-04-03.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-04-03.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.12,3543.72,5102.96
2015-09-01_lw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-09-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,138995,111523.67,549452.7
2015-05-01_lw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-05-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,84123,73517.17,163580.9
2020-07-06.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-07-06.json,48,73,81,1,117,292,16128,28416,44544,41263,6459.71,5072.87,7304.93
2015-07-01_lw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-07-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,112617,90330.79,239272.6
2015-08-01_lw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-08-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,123575,96875.71,234426.21
2020-09-20.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-09-20.json,48,73,81,1,117,292,16128,28416,44544,41263,5601.34,4164.29,5996.58
2020-11-25.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-11-25.json,48,73,81,1,117,292,16128,28416,44544,41263,4435.28,3573.76,5146.22
2020-10-27.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-10-27.json,48,73,81,1,117,292,16128,28416,44544,41263,4621.1,3941.49,5675.75
2020-12-23.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-12-23.json,48,73,81,1,117,292,16128,28416,44544,41263,4905.85,4207.43,6058.69
2020-05-05.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-05-05.json,48,73,81,1,117,292,16128,28416,44544,41263,5284.09,4205.39,6055.76
2020-06-09.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-06-09.json,48,73,81,1,117,292,16128,28416,44544,41263,6575.0,4989.55,7184.95
2020-08-12.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\rts_gmlc\2020-08-12.json,48,73,81,1,117,292,16128,28416,44544,41263,8017.52,5938.12,8550.9
2015-12-01_hw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-12-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,98832,86785.21,219437.01
2015-11-02_hw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-11-02_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,91111,79278.06,210780.9
2015-12-01_lw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-12-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,98832,86785.21,219437.01
2015-11-02_lw.json,unknown,,,,,,,Solver <class 'pyomo.contrib.appsi.base.SolverFactoryClass.register.<locals>.decorator.<locals>.LegacySolver'> is not available (NotFound).,.\ferc\2015-11-02_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,91111,79278.06,210780.9
